"Tendências","Volume de pesquisa","Iniciado","Finalizada","Detalhamento da tendência","Acesse a página ""Explorar"""
"erling haaland","1 mil+","7 de junho de 2026 às 18:00:00 UTC-3","7 de junho de 2026 às 19:30:00 UTC-3","erling haaland","./explore?q=erling%20haaland&geo=BR"
"ederson manchester united","1 mil+","7 de junho de 2026 às 13:10:00 UTC-3","7 de junho de 2026 às 15:00:00 UTC-3","ederson manchester united","./explore?q=ederson%20manchester%20united&geo=BR"
"o'higgins palestino 07/06/2026","1 mil+","7 de junho de 2026 às 19:20:00 UTC-3","7 de junho de 2026 às 20:40:00 UTC-3","o'higgins palestino 07/06/2026","./explore?q=o%27higgins%20palestino%2007%2F06%2F2026&geo=BR"
"xuxa","2 mil+","7 de junho de 2026 às 16:40:00 UTC-3","7 de junho de 2026 às 17:50:00 UTC-3","xuxa","./explore?q=xuxa&geo=BR"
"kosovo x andorra","1 mil+","7 de junho de 2026 às 15:00:00 UTC-3","7 de junho de 2026 às 16:40:00 UTC-3","kosovo x andorra","./explore?q=kosovo%20x%20andorra&geo=BR"
"traição","1 mil+","7 de junho de 2026 às 15:50:00 UTC-3","7 de junho de 2026 às 17:30:00 UTC-3","traição","./explore?q=trai%C3%A7%C3%A3o&geo=BR"
"parnahyba x moto club","1 mil+","7 de junho de 2026 às 15:50:00 UTC-3","7 de junho de 2026 às 18:20:00 UTC-3","parnahyba x moto club","./explore?q=parnahyba%20x%20moto%20club&geo=BR"
"em 2019","1 mil+","7 de junho de 2026 às 18:10:00 UTC-3","7 de junho de 2026 às 19:20:00 UTC-3","em 2019","./explore?q=em%202019&geo=BR"
"mileide mihaile","1 mil+","7 de junho de 2026 às 22:30:00 UTC-3","7 de junho de 2026 às 23:30:00 UTC-3","mileide mihaile,mileide","./explore?q=mileide%20mihaile&geo=BR"
"alexandre pato","500+","7 de junho de 2026 às 20:50:00 UTC-3","7 de junho de 2026 às 22:00:00 UTC-3","alexandre pato","./explore?q=alexandre%20pato&geo=BR"
"toy story 5","1 mil+","7 de junho de 2026 às 23:00:00 UTC-3","8 de junho de 2026 às 00:00:00 UTC-3","toy story 5","./explore?q=toy%20story%205&geo=BR"
"eliana","1 mil+","7 de junho de 2026 às 16:40:00 UTC-3","7 de junho de 2026 às 17:50:00 UTC-3","eliana,celso portiolli","./explore?q=eliana&geo=BR"
"starlink","500+","7 de junho de 2026 às 23:30:00 UTC-3","8 de junho de 2026 às 00:30:00 UTC-3","starlink","./explore?q=starlink&geo=BR"
"indy","1 mil+","7 de junho de 2026 às 16:10:00 UTC-3","7 de junho de 2026 às 17:30:00 UTC-3","indy","./explore?q=indy&geo=BR"
"ribanceira","500+","7 de junho de 2026 às 20:10:00 UTC-3","7 de junho de 2026 às 21:10:00 UTC-3","ribanceira","./explore?q=ribanceira&geo=BR"
"leclerc","1 mil+","7 de junho de 2026 às 11:20:00 UTC-3","7 de junho de 2026 às 12:50:00 UTC-3","leclerc","./explore?q=leclerc&geo=BR"
"circuito sertanejo 2026","500+","8 de junho de 2026 às 00:10:00 UTC-3","8 de junho de 2026 às 01:00:00 UTC-3","circuito sertanejo 2026,pedro leopoldo rodeio show","./explore?q=circuito%20sertanejo%202026&geo=BR"
"ayrton senna","1 mil+","7 de junho de 2026 às 10:00:00 UTC-3","7 de junho de 2026 às 13:30:00 UTC-3","ayrton senna","./explore?q=ayrton%20senna&geo=BR"
"circuito sertanejo","200+","8 de junho de 2026 às 00:10:00 UTC-3","8 de junho de 2026 às 01:00:00 UTC-3","circuito sertanejo","./explore?q=circuito%20sertanejo&geo=BR"
"aramco","1 mil+","7 de junho de 2026 às 10:10:00 UTC-3","7 de junho de 2026 às 11:50:00 UTC-3","aramco","./explore?q=aramco&geo=BR"
"parreira","200+","7 de junho de 2026 às 23:50:00 UTC-3","8 de junho de 2026 às 00:40:00 UTC-3","parreira","./explore?q=parreira&geo=BR"
"huachipato colo-colo 07/06/2026","500+","7 de junho de 2026 às 16:30:00 UTC-3","7 de junho de 2026 às 17:40:00 UTC-3","huachipato colo-colo 07/06/2026","./explore?q=huachipato%20colo-colo%2007%2F06%2F2026&geo=BR"
"marcia fu","500+","7 de junho de 2026 às 19:10:00 UTC-3","7 de junho de 2026 às 20:10:00 UTC-3","marcia fu","./explore?q=marcia%20fu&geo=BR"
"fernando alonso","1 mil+","7 de junho de 2026 às 11:40:00 UTC-3","7 de junho de 2026 às 13:00:00 UTC-3","fernando alonso","./explore?q=fernando%20alonso&geo=BR"
"vincent cassel","500+","7 de junho de 2026 às 14:40:00 UTC-3","7 de junho de 2026 às 15:50:00 UTC-3","vincent cassel","./explore?q=vincent%20cassel&geo=BR"
